country,province,city,updatedAt,stats,coordinates
US,Kansas,Anderson,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.21413251', 'longitude': '-95.29272815'}"
US,Kentucky,Anderson,2020-03-23 23:19:34,"{'confirmed': '2', 'deaths': '1', 'recovered': '0'}","{'latitude': '38.00671029', 'longitude': '-84.99171713'}"
US,South Carolina,Anderson,2020-03-23 23:19:34,"{'confirmed': '15', 'deaths': '0', 'recovered': '0'}","{'latitude': '34.51828081', 'longitude': '-82.63959517'}"
US,Tennessee,Anderson,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '36.12684348', 'longitude': '-84.19965764'}"
US,Texas,Anderson,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '31.81534745', 'longitude': '-95.65354823'}"
US,Missouri,Andrew,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.98492163', 'longitude': '-94.80163024'}"
US,Texas,Andrews,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '32.30468633', 'longitude': '-102.63765479999999'}"
US,Maine,Androscoggin,2020-03-23 23:19:34,"{'confirmed': '3', 'deaths': '0', 'recovered': '0'}","{'latitude': '44.1664747', 'longitude': '-70.20380627'}"
US,Texas,Angelina,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '31.25457347', 'longitude': '-94.60901487'}"
US,Maryland,Anne Arundel,2020-03-23 23:19:34,"{'confirmed': '20', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.00670238', 'longitude': '-76.60329337'}"
US,Minnesota,Anoka,2020-03-23 23:19:34,"{'confirmed': '7', 'deaths': '0', 'recovered': '0'}","{'latitude': '45.27476015', 'longitude': '-93.24604565'}"
US,North Carolina,Anson,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '34.97403241', 'longitude': '-80.09953279'}"
US,Nebraska,Antelope,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '42.17695516', 'longitude': '-98.06662829999999'}"
US,Michigan,Antrim,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '44.99690221', 'longitude': '-85.15503082'}"
US,Arizona,Apache,2020-03-23 23:19:34,"{'confirmed': '4', 'deaths': '0', 'recovered': '0'}","{'latitude': '35.39465006', 'longitude': '-109.4892383'}"
US,Iowa,Appanoose,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '40.74324454', 'longitude': '-92.86865906'}"
US,Georgia,Appling,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '31.74847232', 'longitude': '-82.28909114'}"
US,Virginia,Appomattox,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.37569884', 'longitude': '-78.81340003'}"
US,Texas,Aransas,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '28.10556197', 'longitude': '-96.9995047'}"
US,Colorado,Arapahoe,2020-03-23 23:19:34,"{'confirmed': '58', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.64977461', 'longitude': '-104.3353617'}"
US,Texas,Archer,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '33.61569967', 'longitude': '-98.68754589'}"
US,Colorado,Archuleta,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.19474156', 'longitude': '-107.04768670000001'}"
US,Michigan,Arenac,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '44.0636262', 'longitude': '-83.89277559'}"
US,Arkansas,Arkansas,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '34.29145151', 'longitude': '-91.37277296'}"
US,Virginia,Arlington,2020-03-23 23:19:34,"{'confirmed': '34', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.8767675', 'longitude': '-77.10139853'}"
US,Pennsylvania,Armstrong,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '40.81665618', 'longitude': '-79.46290811'}"
US,Texas,Armstrong,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '34.96507426', 'longitude': '-101.35748740000001'}"
US,Maine,Aroostook,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '46.65926321', 'longitude': '-68.59841248'}"
US,Nebraska,Arthur,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '41.56896142', 'longitude': '-101.6959559'}"
US,Louisiana,Ascension,2020-03-23 23:19:34,"{'confirmed': '26', 'deaths': '1', 'recovered': '0'}","{'latitude': '30.20406249', 'longitude': '-90.91328409999998'}"
US,North Carolina,Ashe,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '36.43296207', 'longitude': '-81.49862729'}"
US,Ohio,Ashland,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '40.84772277', 'longitude': '-82.27280781'}"
US,Wisconsin,Ashland,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '46.31956891', 'longitude': '-90.67837132'}"
US,Arkansas,Ashley,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '33.19153461', 'longitude': '-91.76984709999999'}"
US,Ohio,Ashtabula,2020-03-23 23:19:34,"{'confirmed': '3', 'deaths': '0', 'recovered': '0'}","{'latitude': '41.70860332', 'longitude': '-80.74830218'}"
US,Washington,Asotin,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '46.18894415', 'longitude': '-117.2022851'}"
US,Louisiana,Assumption,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '29.89946234', 'longitude': '-91.06461642'}"
US,Texas,Atascosa,2020-03-23 23:19:34,"{'confirmed': '2', 'deaths': '0', 'recovered': '0'}","{'latitude': '28.89333001', 'longitude': '-98.52730485'}"
US,Kansas,Atchison,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.53185661', 'longitude': '-95.30870026'}"
US,Missouri,Atchison,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '40.43238737', 'longitude': '-95.42970639'}"
US,Ohio,Athens,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.33425634', 'longitude': '-82.04278644'}"
US,Georgia,Atkinson,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '31.29633502', 'longitude': '-82.87545866'}"
US,New Jersey,Atlantic,2020-03-23 23:19:34,"{'confirmed': '6', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.47538693', 'longitude': '-74.65848483'}"
US,Oklahoma,Atoka,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '34.37366573', 'longitude': '-96.03802487'}"
US,Mississippi,Attala,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '33.08658803', 'longitude': '-89.57838564'}"
US,Missouri,Audrain,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.215877', 'longitude': '-91.84242683'}"
US,Iowa,Audubon,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '41.6844628', 'longitude': '-94.90581859'}"
US,Ohio,Auglaize,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '40.55998859', 'longitude': '-84.22421429999999'}"
US,Virginia,Augusta,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.16404586', 'longitude': '-79.12461614'}"
US,South Dakota,Aurora,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '43.71757685', 'longitude': '-98.56050467'}"
US,Texas,Austin,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '29.88548725', 'longitude': '-96.27736949'}"
US,Alabama,Autauga,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '32.53952745', 'longitude': '-86.64408227'}"
US,North Carolina,Avery,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '36.07569796', 'longitude': '-81.92308483'}"
US,Louisiana,Avoyelles,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '31.07796211', 'longitude': '-92.00079449'}"
US,Colorado,Baca,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.31940883', 'longitude': '-102.5603223'}"
US,Georgia,Bacon,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '31.55456473', 'longitude': '-82.45936528'}"
US,Texas,Bailey,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '34.06854817', 'longitude': '-102.8299707'}"
US,Florida,Baker,2020-03-23 23:19:34,"{'confirmed': '3', 'deaths': '0', 'recovered': '0'}","{'latitude': '30.33060121', 'longitude': '-82.28467476'}"
US,Georgia,Baker,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '31.32669878', 'longitude': '-84.44218806'}"
US,Oregon,Baker,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '44.70915557', 'longitude': '-117.6749883'}"
US,Alabama,Baldwin,2020-03-23 23:19:34,"{'confirmed': '3', 'deaths': '0', 'recovered': '0'}","{'latitude': '30.72774991', 'longitude': '-87.72207058'}"
US,Georgia,Baldwin,2020-03-23 23:19:34,"{'confirmed': '2', 'deaths': '0', 'recovered': '0'}","{'latitude': '33.06882326', 'longitude': '-83.24701748'}"
US,Kentucky,Ballard,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.05842757', 'longitude': '-88.99427697'}"
US,Maryland,Baltimore,2020-03-23 23:19:34,"{'confirmed': '35', 'deaths': '1', 'recovered': '0'}","{'latitude': '39.45784712', 'longitude': '-76.62911955'}"
US,Maryland,Baltimore City,2020-03-23 23:19:34,"{'confirmed': '31', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.30211911', 'longitude': '-76.61151012'}"
US,South Carolina,Bamberg,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '33.21927586', 'longitude': '-81.05659969'}"
US,Texas,Bandera,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '29.74619598', 'longitude': '-99.24598147'}"
